StationId,Station name,Capacity,Fee,Infrastrucutre,lat ,lon,Address
478505,JUVISY,72,yes,shed,48.6888985,2.3835042,"Rue Jean Argelies, 91260 Juvisy-sur-Orge, France"
66095,CONFLANS SAINTE-HONORINE,20,no,stands,48.99667,2.09879,"22 Bd Armand Leprince, 78700 Conflans-Sainte-Honorine, France"
73605,CONFLANS FIN D'OISE,20,yes,shed,48.9920723,2.0746971,"Rue Georges Clemenceau, 78700 Conflans-Sainte-Honorine, France"
63244,MASSY-PALAISEAU,40,yes,shed,48.7263147,2.2577235,"Gare Sncf Massy-Palaiseau Palaiseau, 75 Av. Raymond Aron, 91300 Massy, France"
70505,CLAMART,20,no,stands,48.800785,2.2634735,"Av. Jean Jaurès, 92140 Clamart, France"
68407,CHELLES-GOURNAY,98,yes,shed,48.8738692,2.5822574,"8 Av. du Maréchal de Lattre de Tassigny, 77500 Chelles, France"
68963,MEAUX,20,no,stands,48.95776,2.87391,"Pl. de la Gare, 77100 Meaux, France"
61727,BOIS-LE-ROI,72,yes,lit = yes,48.47556,2.69278,"Rue des Sesçois, 77590 Bois-le-Roi, France"
67658,GRETZ-ARMAINVILLIERS,12,yes,shed,48.74574,2.72854,"1 Av. de la Liberté, 77220 Gretz-Armainvilliers, France"
64514,LE VESINET-CENTRE,100,yes,two level parking,48.8901,2.1346,"78110 Le Vésinet, France"
70713,GARCHES-MARNES-LA-COQUETTE,36,no,shed,48.83856,2.18739,"Parking lot, 4 Pl. de la Gare, 92380 Garches, France"
67897,EMERAINVILLE-PONTAULT-COMBAULT,20,yes,shed,48.80677,2.61854,"77184 Émerainville, France"
68123,LOGNES,40,yes,"lit = yes surveillance, shed",48.83902,2.63338,"Rue Jehan Scarron, 77185 Lognes, France"
68153,NOISIEL,20,yes,shed,48.8461,2.6187,"77186 Noisiel, France"
70515,MEUDON,40,yes,shed,48.81483,2.24078,"27 Rue Claude Dalsème, 92190 Meudon, France"
59830,BOURAY,40,no,stands,48.53252,2.29048,"91510 Lardy, France"
71359,GARE DE L'EST,68,yes,shed,48.8761029,2.3599218,"1918 Rue du Faubourg Saint-Martin, 75010 Paris, France"
68266,VAL-D'EUROPE,56,yes,shed,48.85457,2.77144,"2 Imp. du Pot de Fer, 77144 Montévrain, France"
70829,SURESNES-MONT VALERIEN,20,yes,shed,48.87146,2.22112,"92150 Suresnes, France"
70956,NANTERRE-UNIVERSITE,100,yes,shed,48.9013642,2.2120204,"Espl. Patrice Chéreau, 92000 Nanterre, France"